Question,Answer
I like to work on cars,3
I like to do puzzles,4
I am good at working independently,2
I like to work in teams,1
"I am an ambitious person, I set goals for myself",3
"I like to organize things, (files, desks/offices)",4
I like to build things,5
I like to do experiments,5
I like to read about art and music,5
I like to teach or train people,1
I like to try to influence or persuade people,1
I like to have clear instructions to follow,5
I like to take care of animals,5
I enjoy science,4
I enjoy creative writing,5
I like trying to help people solve their problems,5
I like selling things,1
I wouldn’t mind working 8 hours per day in an office,1
I like putting things together or assembling things,2
I enjoy trying to figure out how things work,5
I am a creative person,5
I am interested in healing people,1
I am quick to take on new responsibilities,2
I pay attention to details,3
I like to cook,4
I like to analyze things (problems/ situations),5
I like to play instruments or sing,5
I enjoy learning about other cultures,1
I would like to start my own business,2
I like to do filing or typing,2
I am a practical person,3
I like working with numbers or charts,4
I like acting in plays,5
I like to get into discussions about issues,4
I like to lead,3
I am good at keeping records of my work,1
I like working outdoors,1
I’m good at math,4
I like to draw,5
I like helping people,2
I like to give speeches,2
I would like to work in an office,2
